-3.24876;-0.052633;-0.02125;-0.423856;-1.7935;-0.5;
;;;;;;
1.3254;-0.030497;-0.0072059;-0.0021121;1.9014;-0.5;
;;;;;;
5.0295;-0.068744;-0.005487;-0.0490622;-27.3467;-0.5;
;;;;;;
;;;;;;
-7.12365;0.078749;-0.0033696;-0.212412;-1.3628;-0.5;
-7.90219;-0.021156;-0.143846;-0.141236;-8.096;-0.5;
-78.5216;-0.235062;-0.325834;-3.59266;4.6402;-0.5;
;;;;;;
-12.9794;-0.064614;-1.99;-0.0694679;-3.9125;-0.5;
2.4693;-0.090063;-0.0063889;-0.0524579;-12.3559;-0.5;
-23.7245;-0.122949;-0.107647;-0.334511;-0.8582;-0.5;
-17.9101;0.039383;-0.1925;-0.320725;-6.3769;-0.5;
;;;;;;
0.7832;0.053043;-0.0063889;-0.0724081;5.80382;-0.5;
-7.17046;-0.082603;-0.0344445;-0.386834;-28.9982;-0.5;
-10.3885;0.028235;-0.0100438;-0.475;-19.9202;-0.5;
1.54;0.017007;-0.0129082;-0.0188432;2.6769;-0.5;
-3.69377;0.00827;-0.0700002;-0.190018;-16.3327;-0.5;
-2.43429;0.041911;-0.212222;-0.165665;-2.4439;-0.5;
-0.82697;-0.186696;-0.135357;-0.0711454;-33.4206;-0.5;
-0.65666;0.037681;-0.4925;-0.0113118;1.9892;-0.5;
-20.3163;-0.044786;-0.0198507;-0.324787;-4.703;-0.5;
;;;;;;
-14.3046;0.082235;-0.0258333;-0.0455216;4.8613;-0.5;
1.534;-0.015424;-0.0106818;-0.0454095;0.7947;-0.5;
-12.2087;-0.040986;-0.0168903;-0.087716;3.7527;-0.5;
0.3187;-0.00331;-0.1775;-0.100111;-4.1108;-0.5;
;;;;;;
;;;;;;
-71.2794;-0.248611;-0.0782353;-0.17723;-6.614;-0.5;
;;;;;;
;;;;;;
-21.6492;-0.017409;-0.0925;-0.302814;5.42525;-0.5;
;;;;;;
2.5857;0.070949;-0.0309615;-0.0179976;4.9169;-0.5;
-27.6419;-0.104279;-0.107647;-0.133726;-6.7278;-0.5;
-28.6003;-0.009941;-0.0247581;-0.475;5.237;-0.5;
;;;;;;
-8.10208;0.052869;-0.0524999;-0.0302947;-4.6103;-0.5;
-12.5808;0.139762;-0.0425;-0.084706;3.7163;-0.5;
;;;;;;
-6.8146;0.114472;-0.0065845;-0.475;4.7871;-0.5;
2.7843;0.059495;-0.0344445;-0.106867;-4.5969;-0.5;
-1.9383;-0.065602;-0.171818;-0.0423791;-0.183;-0.5;
-4.21631;-0.021167;-0.0325531;-0.0458115;-6.6102;-0.5;
;;;;;;
1.5189;0.001454;-0.656666;-3.29833;-8.2102;-0.5;
-16.299;-0.083544;-0.0048457;-0.086232;0.0141;-0.5;
-5.56579;-0.048027;-0.0033696;-0.157517;-39.2133;-0.5;
3.6046;0.062848;-0.0041279;-0.142071;4.7847;-0.5;
;;;;;;
;;;;;;
-0.77609;0.039281;-0.0078846;-0.0723173;0.1048;-0.5;
;;;;;;
;;;;;;
;;;;;;
-0.11876;-0.018284;-0.0769565;-0.0723982;-3.3604;-0.5;
;;;;;;
;;;;;;
-18.1843;-0.389063;-0.0270371;-0.22592;-6.0917;-0.5;
-13.9683;-0.044739;-0.0733334;-0.185339;-111.832;-0.5;
-50.4314;-0.121233;-0.9925;-0.475;0.2808;-0.5;
;;;;;;
;;;;;;
-5.89631;-0.119246;-0.0058333;-0.0070624;0.7573;-0.5;
